page_no,scene_title,text
8,  23       EXT. BEACH/PARKING LOT -- GOA/BEACHTOWN -- DAY, 23    *                KIRILL already back at the SILVER CAR -- following them *               out onto the MAIN STREET -- blocked by the local traffic -- *               pulling a HUGE AUTOMATIC PISTOL out from his travel bag.      
9,  24       EXT. BEACHTOWN ALLEY/OFF MAIN STREET -- DAY, 24                THE JEEP pulling down this narrow little passageway and --                 BOURNE'S WINDSHIELD POV  *                MAIN STREET packed with traffic and --                 BACK TO                BOURNE not liking this.  Eyes all over -- trying to decide.                                       MARIE                         But you're sure?                                       BOURNE                         He was at the campground yesterday.                                       MARIE                         So... *                                       BOURNE                         It's wrong.  Guy with a rental car and *                         hundred dollar sneakers sleeps in a tent?                 Trying to decide whether to pull out or back up --                                       MARIE                         That's crazy. *                                       BOURNE                         No.  Not this.  This is real. *                               (suddenly) *                         And he's right there... *                               (throwing the car into                                reverse)                                       MARIE                         Where  --                                     BOURNE                         Back there -- at the corner -- Hyundai -- *                         silver -- *                  9.    
9,  25        INT. HYUNDAI -- DAY (CONT)," 25    *                KIRILL trapped in some Main Street gridlock.  Glancing back               for a way out -- freezing suddenly, because there  --                HIS POV  -- THE JEEP -- THE ALLEY -- right there -- twenty               yards back -- a good look at BOURNE and MARIE -- as they               disappear and --      "
9,  26        EXT. ALLEYWAY -- GOA/BEACHTOWN -- DAY (CONT), 26                THE JEEP backing up the way it came -- BLOWING ITS HORN               because an OLD VAN pulls in and blocks him from behind --      
9,  27        INT. JEEP -- DAY (CONT)," 27                BOURNE leaning on THE HORN -- shit, now they've got to               wait!                                       MARIE *                         ...but you're not -- you're not sure... *                                       BOURNE *                         We can't wait to be sure. *                                       MARIE *                         I don't want to move again...I like it *                         here. *                                       BOURNE *                         Look, we clear out, we get to the shack, *                         we get safe.  We hang there awhile.  I'll *                         come back.  I'll check it out.  But right *                         now we can't -- *                                       MARIE *                         -- where's left to go? --  *                                       BOURNE *                         -- there's places -- we can't afford to *                         be wrong! *      "
10,  28        INT. HYUNDAI -- DAY (CONT), 28                KIRILL.  Calm.  Possessed of a familiar tactical patience.               He can't get the Hyundai to the alley from where he is and *               it doesn't make sense to go on foot.  He checks his                rearview.                10.                 Fuck it -- there's an opening ahead and he's taking it -- *               even though it's away from them -- he'll find another way -- *      
10,  29        EXT. ALLEYWAY -- GOA/BEACHTOWN -- DAY -- (CONT)," 29                BOURNE sees the HYUNDAI move forward into traffic.  THE OLD *               VAN is still blocking them from behind -- *                                       BOURNE *                         You drive. *                                       MARIE *                         What? *                                       BOURNE *                               (already squeezing over) *                         Switch!  You drive! *                                       MARIE *                         -- where? -- *                                       BOURNE *                         -- make the left -- toward the bridge -- *                 MARIE scrambling over the seat.  BOURNE, eyes everywhere, *               checks his watch. *                 THE JEEP squirts back on the main street and --      "
11,  30        INT. JEEP -- DAY -- CONT, 30                MARIE at the wheel -- adrenaline pumping -- clear running               for thirty yards ahead and --                 MARIE skidding them into the right turn -- clipping another               vehicle -- MIRROR SHATTERING! -- speeding up.                 BOURNE scanning behind them -- MARIE moving out to pass --               veering  back! -- an ONCOMING BUS -- just in time and --                                      MARIE                         -- Jesus! --                                                          (glancing over)                         -- is he back there? --                                       BOURNE                         -- not yet --                                       MARIE                         -- it's just him? --              11.                                       BOURNE                         -- yeah -- one guy -- I don't think                         he was ready --                                       MARIE                         -- hang on --                 MARIE bearing down -- pulling out -- gives him a quick                smile -- BOURNE knowing he's got a good one here -- *      
11,  31        INT. HYUNDAI -- DAY/SUNSET," 31    *                KIRILL stopping short on a rise.  Bit of a view from here. *               Gets half out the car to look. *                 BELOW -- the JEEP headed for A BRIDGE.  He's gonna lose *               them.  KIRILL'S mind racing.  Grabs duffle from the back, *               abandons car. *      "
12,  32        INT. JEEP -- BRIDGE -- DAY/SUNSET," 32                MARIE driving.  BOURNE preps his pistol.  Eye out for *               KIRILL.  *                                     BOURNE *                         You keep going to the shack.  I'll meet *                         you there in an hour. *                                       MARIE *                               (concerned) *                         Where are you going? *                                       BOURNE *                         I'm going to bail on the other side and *                         wait.  This bridge is the only way he can *                         follow. *                                       MARIE *                         What if it's not who you think it is? *                                       BOURNE *                         If he crosses the bridge, it is. *                                       MARIE *                         There must be another way! *                                       BOURNE *                         I warned them, Marie.  I told them to *                         leave us alone. *                12.                                       MARIE *                         Jason, please don't do this...it won't *                         ever be over like this. *                                       BOURNE *                         There's no choice. *                 HER POV                The old CONCRETE BRIDGE ahead.  Almost there.      "
12,  33        EXT. LOW WALL -- DAY/SUNSET," 33                KIRILL slams into it.  Quick, precise grabs into the bag.               Only a moment and he's got a SNIPER RIFLE.      "
12,  A34       INT. JEEP -- BRIDGE -- DAY," A34                BOURNE -- pistol in hand -- spare clip in the other --  *               checks his watch. *                                       BOURNE *                         At the end make the left, when I roll out *                         do not slow down . *               MARIE nods, got it.  After a beat... *                                       MARIE *                         I love you, too. *                                       BOURNE *                         Tell me later. *                 MARIE looks ahead.      "
13,  B34       EXT. LOW WALL -- DAY," B34                KIRILL.  Eye to the scope. *                 SNIPER SCOPE POV                There!  The JEEP rumbling across the bridge.  No clear               target, just the back of the full DRIVER'S SIDE HEADREST.                 KIRILL'S FINGER                Squeezing.  Firing.                  13.    "
13,  34        EXT. WOODEN BRIDGE -- DAY (CONT), 34                The JEEP jerking.                 FRONT FENDER tearing into and along the guard rail --               cement shards fill the air --                 BOURNE reaching for the wheel -- Too late!                 As the JEEP finally crashes through the flimsy guardrail --                 Plummets -- splashes hard -- begins to sink out of sight.      
13,  35        EXT. LOW WALL -- DAY (CONT)," 35                KIRILL lowers the scope, takes a quick look around.  He's               basically gone unnoticed in this little nook with his                silenced rifle.  But people are already rushing toward the               bridge.  Then... there!                 An OLD WOMAN looking directly at KIRILL from a doorway.               Not quite sure what.  But an old Indian woman in Goa?  So               what.                 KIRILL drills her with a look.  As she sinks back inside --      "
13,  36        INT. JEEP -- SINKING IN THE RIVER -- DAY/SUNSET, 36                Swallowed up.  BOURNE and MARIE gone. *      
13,  37        EXT. LOW WALL -- SUNSET, 37                KIRILL scans the surface of the river under the bridge.               Waiting.      
13,  38        EXT. RIVER BOTTOM -- DAY," 38                Mud plumes as the JEEP settles.  BOURNE reaches over to *               MARIE, tries to urge her out. *      "
14,  39        EXT. LOW WALL -- DAY," 39                KIRILL with a killer's patience, waiting, almost done.                 SCOPE POV                The surface of the water.  Unbroken.              14.                 KIRILL                Scans his perimeter.  There's the old woman again.  But               more people with her.  People coming out of the woodwork.                 KIRILL checks the surface one last time.  Nothing.                 He breaks down the rifle in moments -- goes. *      "
14,  40        EXT. JEEP -- RIVER BOTTOM -- DAY, 40                BOURNE -- up into an air pocket held by the jeep's canvas               top.  A big gulp of air --                 And he's back to MARIE.  Frantic.  Trying to unclip her *               seatbelt.  Pull her out.  But it's all jammed up. *      
14,  41        EXT. KIRILL -- BY THE SILVER CAR, 41                Bag chucked in the back.  All he has left is the scope. *               One last look to the unbroken surface.  Then it's time to               go.  KIRILL -- drifting away -- disappears.      
14,  42        EXT. JEEP -- RIVER BOTTOM -- DAY, 42                The red halo growing bigger.  BLOOD. *                 BOURNE pauses.  MARIE'S face is blank.  She's dead. *                 BOURNE finally pulling back.  Realizing this is *               goodbye... *           43-68     
15,  69        EXT. ZOOGARTEN SQUARE -- NIGHT, 69                We pick up a MAN WITH A BRIEFCASE on a telephoto lens.                                       TEDDY/RADIO (V.O.)                         The seller has arrived.     BERLIN              15.                 As the man comes to a CHINESE RESTAURANT he stops.               Squarely.  So he can be seen clearly.  Then he enters a               STARK GLASS OFFICE BUILDING.                                       TEDDY/RADIO (V.O.)                                     (cont'd) (CONT'D)                         He's inside.      
15,  70        EXT. ZOOGARTEN SQUARE -- NIGHT," 70                TWO MEN cross the square to the Chinese Restaurant.  VIC is               forty -- steel-ass intel operator -- he carries A LARGE               SAMPLES CASE.  Beside him, MIKE, younger, ex-Navy-Seal.      "
15,  71        INT. BERLIN HQ/COMMAND POST -- NIGHT," 71                ""The Hub"".  Secure, anonymous office space somewhere in the               city.  Shades drawn.  Lots of gear cabled around.  The               stale, improvised feel of a temporary outpost.  Four               serious people alone in this room:                 PAMELA LANDY is 46.  A Senior C.I.A. Counterintelligence               Officer.  Hovering over the communications console.                 CRONIN -- Pamela's #2 -- early forties, stone-cold facade --                quarterbacking the operation over the radio --                 KURT and KIM are the techs here.  His and Her headphones.               Ruggedized laptops and comm gear spread around them.                                       CRONIN                         What have you got, Survey One?      "
15,  72        INT. NEARBY BERLIN OFFICE -- NIGHT (CONT)," 72                Dark.  TEDDY at the window.  Another military face.  Radio               rig.  Night Scope.  Watching VIC and MIKE pass below him --                                       TEDDY/RADIO (OVER)                         ""Hub, this is Survey One.  Mobile One is                         in motion.  Seller is inside and waiting.""      "
16,  73        EXT. MODERN BERLIN STREET -- NIGHT," 73                VIC and MIKE slow as they come to the same STARK, GLASS               OFFICE BUILDING.                                       TEDDY/RADIO (OVER)                         ""We are ready to go.""            16.    "
16,  74        EXT. MODERN BERLIN STREET -- NIGHT," 74                MIKE and VIC shake hands; two tired co-workers parting               ways.  MIKE will keep walking.  VIC entering the building               through the big glass doors, smiling as he's approached by               A NIGHT SHIFT SECURITY GUARD.  And we hear:                 MIKE still walking, alone now, heading away from THE GLASS               OFFICE BUILDING toward A VAN parked up the block.                                       MIKE/RADIO                               (sleeve mike, earpiece)                         ""This is Escort One.  I'm clear.""      "
16,  75        INT. BERLIN HQ/COMMAND POST -- NIGHT," 75                THE COMMAND POST.  CRONIN works the communications *               board... *                                       CRONIN                         ""All teams -- listen up -- we are standing-                         by for final green.""                               (turning now to--)                 PAMELA, who has been listening.  Just as she's about to give *               the final word, KIM raises a finger... *                                       KIM *                         Langley... *                 She hands PAMELA a phone that's patched into her board. *                                       PAMELA *                               (a bit surprised) *                         Martin? *      "
17,"  76        INT. CIA SITUATION ROOM/LANGLEY, VIRGINIA -- DAY"," 76                THREE MEN -- CIA MANDARINS -- sit around a round table.               MARTIN MARSHALL, Deputy Vice-Director, he's in charge. *               All is tense. *                                       MARSHALL *                         I'm here.  So is Donnie and Jack Weller. *                         We understand you're using the full *                         allocation for this buy? *                                       PAMELA *                         That's where we came out. *                17.                                       MARSHALL                         It's a lot of money, Pam.                                       PAMELA                         We're talking raw, unprocessed KGB files. *                         It's not something we can go out and *                         comparison shop. *                                       MARSHALL *                         Still... *                                       PAMELA *                         For a thief.  A mole .  I vetted the *                        source, Marty.  He's real.  If it does *                         nothing more than narrow the list of *                         suspects, it's a bargain at ten times the *                         price. *                                       MANDARIN #1 *                         Pamela, Jack Weller here.  It's the *                         quality that's at issue... *                                       PAMELA *                         Yes, sir.  I'm in total agreement.  If *                         they're fakes, they're expensive. *                               (furious, impatient) *                         Gentlemen, I've got the seller on site and *                         in play.  Quite honestly, there's not much *                         more to talk about. *                 MARSHALL looks to his MANDARIANS.  Not convinced, but *               doesn't want to lose the opportunity.  Time to wash his *               hands.  *                                     MARSHALL *                         All right Pam, your game, your call... *        77    *     "
18,  78        INT. BERLIN HQ/COMMAND POST -- NIGHT," 78                All eyes on PAMELA as she puts down the phone to Langley.               Nodding to CRONIN.  Yes .                                     CRONIN/RADIO                         ""Final Green.  You are go.  Repeat, you                         are go for Final Green.""                    18.    "
18,  79        INT. GLASS OFFICE BUILDING LOBBY -- NIGHT," 79                VIC has just passed muster with The Security Guard, he's               standing alone at AN ELEVATOR BANK.                                       VIC/RADIO                               (sleeve mike, earpiece)                         ""On my way up.""                 VIC pulling his earpiece.  Going dark.  Waits for an               elevator. *      "
18,  A80       INT. GLASS OFFICE BUILDING ELECTRICAL CLOSET -- NIGHT," A80                Dark .  A small room full of wiring and infrastructure, lit              by the glare of someone's MAG-LIGHT.                 GLOVED HANDS quickly pass over racks of gear and wiring and               then stopping at -- the main electrical risers.                 They carefully place an EXPLOSIVE DEVICE -- no bigger than               a pack of cigarettes -- onto the main riser...                 Done with that, here comes A SECOND SMALL EXPLOSIVE DEVICE -               - but this one's special , it's being taken from A              PLASTIC BAG and mounted down by the floor on a sub-panel --                 Done, the hands hold up what looks like a piece of tape.  "
18,"            It bears a FINGERPRINT.  As the tape is pressed down, ",             transferring it onto the charge --      
19,  80        INT. GLASS OFFICE BUILDING ELEVATOR -- NIGHT," 80                VIC alone with THE SAMPLES CASE.  Pressing the button for               #9, the top floor.  The doors close.  The car               rises...2...3...4...5...6...  And then, it stops.  VIC               bracing himself, as the door opens and --                 IVAN -- Russian -- the guy we saw outside with the               briefcase -- standing in an empty, darkened hallway.                                       IVAN                         Show me.                                       VIC                         Here?                                       IVAN                               (holding open the door)                         Now.  Show now.              19.                 VIC flips open the case.  CASH.  Three million dollars.      "
19,  81        INT. GLASS OFFICE BUILDING CORRIDOR -- NIGHT, 81                A GLASS DOOR.  A suite of offices beyond.  Clean.               Anonymous.  One light on deep inside...    CASPIEX-PETROLEUM   Cherbourg -- Moscow -- Rome -- Tehran
20,     82        INT. CASPIEX OFFICE -- NIGHT," 82                Curtains drawn.  Lights low.  IVAN sitting with THE SAMPLES               CASE, counting the cash.  VIC poring over --                 RUSSIAN DOCUMENT FILES.  Dozens of KGB files.  Old and new. *               Spread sheets, financial data.  Incomprehensibly Cyrillic. *               Marked up.  But judging by the seals and clearance sign- *               offs, all top-secret. *                                       VIC                         This is everything?                                       IVAN                         Is there.  Is all there.                 Suddenly -- MUSIC -- a radio -- some tinny pop tune just               started playing from somewhere down the hall --                                       VIC                         -- what the hell is that? -- alone  --                       you said alone --                 Both of them sure they're being double-crossed --                                       VIC (CONT'D) (cont'd)                               (reaching for his ankle)                         -- who ? -- who else is here? --                                      IVAN                         -- no! -- not me! -- no other people! --                                       VIC                               (coming up with a pistol)                         -- shut up! -- just shut the --                 Freaked by the gun, IVAN to his feet -- VIC pushing him               back as he rushes past -- THE SAMPLE CASE spilling cash and               --             20.                 Wrong .               SNAPPH! -- SNAPPH! -- SNAPPH! -- SNAPPH! -- SNAPPH! -- five               fast, suppressed small caliber shots -- VIC falls first --               IVAN crashing back across a desk as the bullets tear into               him -- both of them dead before they hit the floor and --                             REVERSE TO FIND                 The GLOVED HANDS unscrewing a SILENCER, tucking away the               weapon.  Already in motion before we know what's happened --               pulling a climbing duffel out from his back pack --               stuffing in THE SAMPLES CASE and IVAN'S BRIEFCASE -- all               the files -- all the money...                 Except, wait...  He's left out ONE old KGB FILE COVER -- and               now he pulls A PLASTIC BAG from his backpack -- GLOVED               HANDS carefully remove A SINGLE SHEET OF PAPER from inside               the bag.  And this paper looks exactly like all the stuff               he's just tucked away; another page full of Cyrillic blur.                 He's putting this sheet of paper inside the file cover.               Now he's slipping them both underneath the desk, tossing               them there as if they fell in the struggle and --      "
20,  83        INT. GLASS OFFICE BUILDING ELECTRICAL CLOSET -- NIGHT," 83                The electrical risers -- as ONE OF THE TWO DETONATION               DECIVES BLOWS -- a single , tidy, self-contained explosion              and --       "
20,  84        EXT./INT. THE GLASS OFFICE BUILDING LOBBY -- NIGHT, 84                As the lights flicker and fail and THE NIGHT SHIFT               SECURITY GUARD is suddenly cast into darkness and --      
21,  85        INT. BERLIN HQ/COMMAND POST -- NIGHT," 85                As they were.  Waiting.  But only a moment before --                                       TEDDY/RADIO                               (sudden, urgent)                         ""Hub? -- we just -- we lost power --                         the building! -- the whole place just                         went dark! --""                 CRONIN looking at Pamela -- the first whiff of dread as --                                       CRONIN                         ""-- repeat -- who is dark? -- the target                         building or your location? --""           21.                 RADIO VOICES piling up -- panicked, confusion cascading as -               -       86-87    *       A87,B87    *     "
21,  88        EXT. BERLIN NOVATEL/PARKING LOT -- NIGHT, 88    *                Anonymous drone barn.  KIRILL stepping out of a car. *               He's carrying the duffle. *      
21,  89        INT. BERLIN NOVATEL CORRIDOR -- NIGHT, 89    *                KIRILL.  Heading down the hall. *      
22,  90        INT. NOVATEL ROOM -- NIGHT," 90    *                KIRILL enters.  It's a small room.  GRETKOV is waiting. *               He's forty.  Professional.  Trim and polished.  Dominant. *                                       GRETKOV *                               (Russian) *                         (You're early) *                                       KIRILL                         (You're complaining?)                                        GRETKOV *                         (It's clean?) *                                       KIRILL *                         (Would I bring it?) *                 GRETKOV taking over now.  Tosses some money on the bed, *               checks out the photocopy of the files. *                                       GRETKOV                         (What are you doing?)                 KIRILL stripping quickly --  *                                       KIRILL *                         (I'm taking a shower, it's been a long *                         day.) *                                       GRETKOV *                         (Make it fast, my plane is waiting) *            22.                 GRETKOV dumping three million dollars over the bed as *               KIRILL sheds his clothes, and we -- *         "
22,  A90       EXT. THE BRIDGE -- GOA -- DAY, A90                WORKMEN cluster as a cable winches --                 The JEEP is raised from the river bottom.  As water pours               off of it --                  BOURNE -- Watching -- From a distance -- Empty --         
22,  B90       EXT. BERLIN OFFICE BUILDING -- DAY," B90    *                Crime scene.  POLICE blocking OFFICE WORKERS from getting *               in the building.  MEDIA vans clogging the street.                 PAMELA and CRONIN, across the street, watching.                 The mood is black.  Ashes.                                       PAMELA                         We need to get in there.                                       CRONIN                         I'm working on it.                 PAMELA stands there.  Silent.  Staring at the disaster               across the street.        91-92A     "
23,  A93       INT. SHACK -- GOA -- DAY," A93                BOURNE is bailing .               Exfil procedure, but this is a heartbroken exfil.                 -- A FOOTLOCKER open.  Bourne's main stash.                 BOURNE going through the footlocker.  Setting aside his               'work clothes' -- other things he needs.                 But he also has to separate.              23.                 A GROWING PILE of Marie memories: Bank cards.  Phony               student IDs.  Loose passport photos with a mix of looks and               hair-dos.  Clothes -- vacuum-packed bags -- spare shoes. *      "
23,  B93       EXT. NEAR THE SHACK -- DAY," B93                A gasoline-stoked FIRE burning in a rock-lined pit.  BOURNE               feeding his papers and all of Marie's belongings into the               fire.  A passport cover crinkles back to reveal her photo.               Her face begins to burn.  Gas-soaked clothes tossed in.               Nothing left except --                  The PHOTOGRAPH -- the picture of he and Marie at the beach.               The one from his desk.                 BOURNE hesitates, holds the photo out to the flames.  The               rules of exfil say drop it -- but he can't -- won't --                 He reaches to his bag, sticks the photo on top of his gear.                 Then, hefting, the bag, BOURNE strides away. *      "
24,  93        INT. BERLIN HQ COMMAND POST -- DAY," 93                A folding table covered with XEROXED BERLIN POLICE *               PAPERWORK.  PAMELA getting a show-and-tell from CRONIN *               and TEDDY. *                                       CRONIN                         -- so there were two of these explosive                         charges placed on the power lines.  One of *                         them failed.  The fingerprint... *                               (Pamela's got it)                         That's from the one that didn't go off.                                       PAMELA                         And the Germans can't match it?                                       TEDDY                         Nobody's got it.  We checked every                         database we could access.  Nothing.                                       CRONIN                         Show her the other thing.                                       TEDDY                         This is a KGB file that must've fallen                         somehow and then slipped under, I guess, a                         desk there, or...                               (handing it to her--)              24.                                       PAMELA                         Do we know what this says?                                       TEDDY                         Yup...                               (a scrap of paper)                         The main word there, the file heading,                         translates as: Treadstone .                                     PAMELA                         What the hell is a ""Treadstone?""                 CRONIN shaking his head.  Nobody knows.         "
24,  C93       EXT. INDIA COUNTRYSIDE -- DAY, C93                BOURNE bouncing around on an old Punjab BUS.  Alone in a               crush of humanity.                 Going only God knows where...           94-96     
24,"  A97       EXT. CIA HEADQUARTERS -- LANGLEY, VIRGINIA", A97                 PAMELA'S POV as she drives toward the entrance.                       C.I.A. HEADQUARTERS VIRGINIA  *     
24,  97        INT. C.I.A. HEADQUARTERS -- DAY," 97                A long, bright, sterile hallway.  PAMELA and CRONIN walking               briskly alongside A UNIFORMED S.P.S. OFFICER.      "
25,  98        INT. C.I.A. ELEVATOR -- DAY, 98                PAMELA and CRONIN watching THE S.P.S. OFFICER unlock the               operation panel.  Coding in.  They begin to descend and --                        25.    
